filtered_data, frequency, frequency_magnitude, threshold
1030.195984, 124511.718750, 3085.524485, 173.727273
773.874527, 125000.000000, 9969.836599, 173.727273
478.484045, 125488.281250, 12842.397965, 173.727273
63.186820, 125976.562500, 16607.859292, 173.727273
-364.913193, 126464.843750, 21817.565361, 173.727273
-648.828645, 126953.125000, 5727.620283, 173.727273
-555.547551, 127441.406250, 6068.582870, 173.727273
-293.742722, 127929.687500, 7450.249684, 173.727273
-48.085914, 128417.968750, 18137.895201, 173.727273
114.826015, 128906.250000, 3887.346153, 173.727273
103.174470, 129394.531250, 4140.609942, 173.727273
19.423822, 129882.812500, 9625.385320, 173.727273
-176.044623, 130371.093750, 4425.568123, 173.727273
-323.705174, 130859.375000, 3419.404022, 173.727273
-575.453443, 131347.656250, 3215.018992, 173.727273
-504.522372, 131835.937500, 10694.348369, 173.727273
-294.356922, 132324.218750, 22356.934480, 173.727273
31.217323, 132812.500000, 25201.967599, 173.727273
511.837746, 133300.781250, 16546.006196, 173.727273
963.545457, 133789.062500, 4962.042791, 173.727273
1099.099505, 134277.343750, 8788.825041, 173.727273
1096.319182, 134765.625000, 10723.282611, 173.727273
749.670994, 135253.906250, 8741.761812, 173.727273
262.084603, 135742.187500, 1238.485999, 173.727273
-204.510485, 136230.468750, 3248.325716, 173.727273
-622.536496, 136718.750000, 4852.847515, 173.727273
-1026.287931, 137207.031250, 6254.281856, 173.727273
-1357.821160, 137695.312500, 8275.858772, 173.727273
-1464.846819, 138183.593750, 14487.790118, 173.727273
-1158.015788, 138671.875000, 15880.372770, 173.727273
-435.161771, 139160.156250, 15932.472290, 173.727273
171.795581, 139648.437500, 10252.962505, 173.727273
843.096832, 140136.718750, 4131.460884, 173.727273
1435.900313, 140625.000000, 105.850009, 173.727273
1778.023196, 141113.281250, 1166.243449, 173.727273
1593.872173, 141601.562500, 5579.987466, 173.727273
1025.068488, 142089.843750, 4587.207921, 173.727273
227.156123, 142578.125000, 5882.811809, 173.727273
-634.643738, 143066.406250, 2410.944583, 173.727273
-1352.784455, 143554.687500, 3829.320465, 173.727273
-1735.855049, 144042.968750, 10017.931675, 173.727273
-1653.363299, 144531.250000, 14315.369164, 173.727273
-1079.891821, 145019.531250, 12092.361713, 173.727273
-460.711186, 145507.812500, 8763.687777, 173.727273
150.014586, 145996.093750, 4107.960044, 173.727273
654.838345, 146484.375000, 213.759371, 173.727273
1013.491226, 146972.656250, 1004.554236, 173.727273
1048.510560, 147460.937500, 4329.106434, 173.727273
912.572249, 147949.218750, 9350.384548, 173.727273
823.140713, 148437.500000, 11695.409301, 173.727273
739.119473, 148925.781250, 9270.484379, 173.727273
541.187359, 149414.062500, 4040.211176, 173.727273
173.129916, 149902.343750, 1384.888029, 173.727273
-247.360649, 150390.625000, 4738.073501, 173.727273
-544.729246, 150878.906250, 4520.660334, 173.727273
-955.476384, 151367.187500, 2088.963041, 173.727273
-1210.746956, 151855.468750, 117.964475, 173.727273
-1216.408946, 152343.750000, 3121.901275, 173.727273
-956.487124, 152832.031250, 4514.900025, 173.727273
-444.485267, 153320.312500, 5582.113441, 173.727273
195.460734, 153808.593750, 9359.742122, 173.727273
663.656128, 154296.875000, 8770.436457, 173.727273
952.760418, 154785.156250, 9524.255634, 173.727273
908.255698, 155273.437500, 5728.189962, 173.727273
692.719779, 155761.718750, 5579.654288, 173.727273
386.163671, 156250.000000, 3162.227070, 173.727273
30.750433, 156738.281250, 2667.383967, 173.727273
-380.472199, 157226.562500, 1744.897001, 173.727273
-493.277019, 157714.843750, 4057.019170, 173.727273
-337.246406, 158203.125000, 3678.193037, 173.727273
60.785394, 158691.406250, 4582.138265, 173.727273
395.700126, 159179.687500, 4312.157171, 173.727273
605.166708, 159667.968750, 7213.326534, 173.727273
562.401476, 160156.250000, 3161.505154, 173.727273
227.144240, 160644.531250, 806.268170, 173.727273
-470.931751, 161132.812500, 1091.968774, 173.727273
-1274.756577, 161621.093750, 1402.201893, 173.727273
-1531.805153, 162109.375000, 3661.881204, 173.727273
-1354.414917, 162597.656250, 2872.116097, 173.727273
-755.837367, 163085.937500, 2912.592519, 173.727273
598.816736, 163574.218750, 472.112762, 173.727273
1706.912870, 164062.500000, 2293.864688, 173.727273
1740.920157, 164550.781250, 1603.364129, 173.727273
1767.368821, 165039.062500, 366.966611, 173.727273
1785.063626, 165527.343750, 1758.461122, 173.727273
948.644003, 166015.625000, 4120.654334, 173.727273
-646.082978, 166503.906250, 2449.577782, 173.727273
-1866.040302, 166992.187500, 1089.187872, 173.727273
-1809.001114, 167480.468750, 378.245054, 173.727273
-1747.001463, 167968.750000, 1363.884095, 173.727273
-1680.765211, 168457.031250, 621.850160, 173.727273
-1287.866823, 168945.312500, 1923.696599, 173.727273
-400.269596, 169433.593750, 683.151184, 173.727273
377.362449, 169921.875000, 1349.459635, 173.727273
926.444924, 170410.156250, 2754.934330, 173.727273
1553.177580, 170898.437500, 98.988825, 173.727273
2005.537514, 171386.718750, 2436.437515, 173.727273
1900.062710, 171875.000000, 2927.646492, 173.727273
1693.807702, 172363.281250, 575.929309, 173.727273
860.173472, 172851.562500, 215.757374, 173.727273
-97.606887, 173339.843750, 1939.063020, 173.727273
-1349.313909, 173828.125000, 2021.266634, 173.727273
-1846.489308, 174316.406250, 6083.414129, 173.727273
-1863.609311, 174804.687500, 7485.662390, 173.727273
-1874.252166, 175292.968750, 6146.879799, 173.727273
-1607.949263, 175781.250000, 2182.886697, 173.727273
-337.657117, 176269.531250, 370.989999, 173.727273
861.126074, 176757.812500, 2146.566980, 173.727273
1995.991453, 177246.093750, 1808.851413, 173.727273
2007.602188, 177734.375000, 1414.154850, 173.727273
1894.914504, 178222.656250, 3866.124338, 173.727273
1382.520001, 178710.937500, 2555.738858, 173.727273
113.823906, 179199.218750, 1562.488798, 173.727273
-1787.074126, 179687.500000, 1600.341113, 173.727273
-1769.259668, 180175.781250, 1058.500000, 173.727273
-1746.867606, 180664.062500, 2016.650692, 173.727273
-1729.148970, 181152.343750, 2824.562288, 173.727273
-1390.941580, 181640.625000, 3035.239094, 173.727273
-98.358942, 182128.906250, 4260.553617, 173.727273
1239.244756, 182617.187500, 1932.985458, 173.727273
2136.603801, 183105.468750, 1106.972402, 173.727273
2133.369404, 183593.750000, 2862.367518, 173.727273
2017.369627, 184082.031250, 2707.840983, 173.727273
1373.841543, 184570.312500, 3787.371007, 173.727273
30.344297, 185058.593750, 2230.146825, 173.727273
-1169.089142, 185546.875000, 651.906521, 173.727273
-1735.648732, 186035.156250, 1684.445416, 173.727273
-1776.576014, 186523.437500, 1002.963247, 173.727273
-1674.727978, 187011.718750, 1973.244604, 173.727273
-792.669429, 187500.000000, 1289.710642, 173.727273
184.398367, 187988.281250, 1616.485082, 173.727273
879.390078, 188476.562500, 2753.579210, 173.727273
1073.901614, 188964.843750, 3581.628683, 173.727273
697.065448, 189453.125000, 2994.442819, 173.727273
267.623478, 189941.406250, 2239.005831, 173.727273
-195.360923, 190429.687500, 249.873006, 173.727273
-404.604352, 190917.968750, 224.073091, 173.727273
-184.116387, 191406.250000, 824.666158, 173.727273
299.913435, 191894.531250, 1631.231308, 173.727273
688.958184, 192382.812500, 421.103249, 173.727273
770.551493, 192871.093750, 2749.917538, 173.727273
401.837340, 193359.375000, 4107.350798, 173.727273
-196.899982, 193847.656250, 688.809403, 173.727273
-872.873381, 194335.937500, 930.619231, 173.727273
-1343.054430, 194824.218750, 5332.206134, 173.727273
-1340.288924, 195312.500000, 7367.363332, 173.727273
-840.848470, 195800.781250, 3772.702762, 173.727273
45.349216, 196289.062500, 3369.039390, 173.727273
1153.682167, 196777.343750, 1685.727863, 173.727273
1815.646295, 197265.625000, 339.389427, 173.727273
1726.921562, 197753.906250, 2230.196225, 173.727273
1259.557808, 198242.187500, 2652.613924, 173.727273
135.516778, 198730.468750, 2546.138547, 173.727273
-1137.968962, 199218.750000, 4767.751059, 173.727273
-1757.658351, 199707.031250, 2067.540515, 173.727273
-1714.549260, 200195.312500, 282.909575, 173.727273
-1342.372936, 200683.593750, 3525.437671, 173.727273
-106.085822, 201171.875000, 3400.016786, 173.727273
1142.596549, 201660.156250, 5312.280626, 173.727273
1746.433729, 202148.437500, 5810.892022, 173.727273
1583.878933, 202636.718750, 4356.805152, 173.727273
621.482929, 203125.000000, 4290.229161, 173.727273
-374.492720, 203613.281250, 2113.287200, 173.727273
-1311.527190, 204101.562500, 869.462422, 173.727273
-1759.494110, 204589.843750, 2954.617682, 173.727273
-1630.202059, 205078.125000, 4619.333456, 173.727273
-744.135659, 205566.406250, 6678.106579, 173.727273
545.240386, 206054.687500, 3508.687779, 173.727273
1967.778163, 206542.968750, 1084.328139, 173.727273
1940.316119, 207031.250000, 1506.771157, 173.727273
1903.968891, 207519.531250, 2611.051256, 173.727273
1641.526649, 208007.812500, 2506.487377, 173.727273
-348.186265, 208496.093750, 3068.658198, 173.727273
-1945.829255, 208984.375000, 2427.320923, 173.727273
-1950.884336, 209472.656250, 1436.243727, 173.727273
-1963.587691, 209960.937500, 1341.722437, 173.727273
-1962.054382, 210449.218750, 3966.809759, 173.727273
-1638.493830, 210937.500000, 2696.635480, 173.727273
1757.108529, 211425.781250, 7020.359861, 173.727273
1891.046908, 211914.062500, 5780.690584, 173.727273
1915.300425, 212402.343750, 5681.938601, 173.727273
1952.519339, 212890.625000, 4955.391983, 173.727273
1884.822091, 213378.906250, 225.489654, 173.727273
578.767932, 213867.187500, 1644.319535, 173.727273
-1729.230837, 214355.468750, 126.346754, 173.727273
-1681.234037, 214843.750000, 3602.810741, 173.727273
-1637.974277, 215332.031250, 2708.655346, 173.727273
-1612.808559, 215820.312500, 2374.656381, 173.727273
-910.183277, 216308.593750, 117.530345, 173.727273
-101.269785, 216796.875000, 3532.299330, 173.727273
412.443304, 217285.156250, 4545.243447, 173.727273
606.408250, 217773.437500, 7090.427665, 173.727273
700.180091, 218261.718750, 7121.376296, 173.727273
674.224877, 218750.000000, 5985.014644, 173.727273
767.068666, 219238.281250, 2516.613349, 173.727273
891.580132, 219726.562500, 2544.623207, 173.727273
992.239791, 220214.843750, 136.531778, 173.727273
782.670196, 220703.125000, 1748.111594, 173.727273
272.937880, 221191.406250, 1671.721506, 173.727273
-358.929194, 221679.687500, 1533.491259, 173.727273
-968.924417, 222167.968750, 1517.681295, 173.727273
-1533.641899, 222656.250000, 304.707292, 173.727273
-1617.933096, 223144.531250, 937.485768, 173.727273
-1126.062078, 223632.812500, 4032.870983, 173.727273
-427.959654, 224121.093750, 4476.155553, 173.727273
534.194844, 224609.375000, 3702.569940, 173.727273
1154.702167, 225097.656250, 7045.547145, 173.727273
1153.432906, 225585.937500, 4375.760953, 173.727273
1037.491674, 226074.218750, 2706.486750, 173.727273
362.487977, 226562.500000, 1039.083684, 173.727273
-307.278683, 227050.781250, 67.515602, 173.727273
-704.080215, 227539.062500, 2771.671947, 173.727273
-773.948885, 228027.343750, 787.611678, 173.727273
-538.664910, 228515.625000, 839.257507, 173.727273
35.358581, 229003.906250, 2013.442131, 173.727273
435.826193, 229492.187500, 184.605598, 173.727273
650.201334, 229980.468750, 2516.783553, 173.727273
578.578109, 230468.750000, 1483.738458, 173.727273
294.228306, 230957.031250, 2102.960280, 173.727273
-201.755010, 231445.312500, 1854.379279, 173.727273
-513.198309, 231933.593750, 4088.012878, 173.727273
-681.366197, 232421.875000, 4368.114182, 173.727273
-420.645371, 232910.156250, 2130.432905, 173.727273
209.257883, 233398.437500, 1795.550272, 173.727273
699.434656, 233886.718750, 1352.551811, 173.727273
864.346028, 234375.000000, 3000.764370, 173.727273
766.959431, 234863.281250, 3866.212235, 173.727273
273.989827, 235351.562500, 3007.333729, 173.727273
-585.609901, 235839.843750, 676.839619, 173.727273
-1275.373354, 236328.125000, 2241.209185, 173.727273
-1371.554671, 236816.406250, 2906.574735, 173.727273
-1298.435852, 237304.687500, 1632.543661, 173.727273
-539.225638, 237792.968750, 1354.267832, 173.727273
503.779584, 238281.250000, 479.465267, 173.727273
1457.153358, 238769.531250, 1097.430627, 173.727273
2002.783547, 239257.812500, 834.657461, 173.727273
1714.623831, 239746.093750, 2.342432, 173.727273
639.528286, 240234.375000, 1481.191925, 173.727273
-925.309273, 240722.656250, 4406.218186, 173.727273
-1858.355371, 241210.937500, 5316.730086, 173.727273
-1887.977362, 241699.218750, 6290.512908, 173.727273
-1815.082330, 242187.500000, 3585.273867, 173.727273
-587.032797, 242675.781250, 1346.670471, 173.727273
1436.527142, 243164.062500, 1896.094050, 173.727273
1942.875343, 243652.343750, 2590.781032, 173.727273
1996.397547, 244140.625000, 150.090182, 173.727273
1959.820546, 244628.906250, 2249.897170, 173.727273
